Variable,Frecuencia
Computational Thinking Scale - CTS,1595
CT Scale - CTS,1595
Computational Thinking Skill Levels Scale - CTS,1594
Computational concepts,29
Computational Thinking Test - CTt,20
Computational Thinking Test,14
Computational Thinking Challenge - CTC,5
Self-efficacy scale,5
Computational Thinking Levels Scale - CTLS,4
Computational thinking skills test - CTST,4
Beginners Computational Thinking test - BCTt,3
Coding Attitudes Survey - ESCAS,2
Elementary Student Coding Attitudes Survey - ESCAS,2
Competent Computational Thinking test - cCTt,2
The computational thinking scale,1
